Launch App..
Initiating main..
('Counting words in ', 's3://spark-emr-wc-bucket/spark-emr-wc-inp.txt')
not,: 4
not.: 4
alone,: 8
alone.: 6
REMEDIES: 1
Web: 3
walking: 3
monstrous: 1
Character: 1
fifty: 1
discovered: 4
bright: 1
threshold: 1
corner: 3
ground: 1
We: 284
removed: 2
5-3000: 5
sages.: 1
displaying,: 2
saints: 1
behind: 8
crime: 10
â€œDare: 1
try,: 1
only: 36
wood: 2
black: 12
donate.: 1
lanterns.: 1
inventions: 1
one...: 2
NINE: 2
thing,â€: 1
flickers: 1
seen,: 1
START:: 1
hall.: 2
graceless: 1
guarded: 1
lighten: 1
begging: 2
darkness,: 3
We,: 2
cannot: 25
nearly: 1
awaiting: 1
manuscripts: 1
â€œThere: 1
is: 254
reveal: 1
Alliance: 1
Service.: 1
blind.: 1
leather: 2
modified: 1
morning: 2
naked: 2
other: 29
friends,: 1
friends.: 3
glowing.: 1
said,: 10
glowing,: 2
where: 22
streets,: 1
rage,: 1
mountaintop,: 1
say.â€: 1
moan,: 1
burst: 2
raged: 1
asked,: 2
seat: 1
elected: 3
glory,: 1
asleep: 1
smooth,: 1
ourselves,: 3
hastened: 1
violates: 1
wonder: 8
â€œwho: 1
come.: 3
holder,: 1
1.E.2.: 1
holder.: 1
federal: 2
84116,: 1
ages,: 1
outside: 3
ages.: 1
between: 3
Foundation: 14
reading: 1
man,: 3
across: 4
man.: 3
deletions: 1
notice: 5
FOR: 3
spring: 3
U.S.: 7
â€œyour: 1
doing.: 1
gratefully: 1
â€œWhere: 3
Each: 2
cities: 3
come: 18
us!â€”we: 1
fit: 2
Corrective: 7
Give: 2
many: 30
gods.â€: 1
aside,: 1
west,: 1
2-5503,: 2
Through: 2
way.: 5
way,: 1
comes: 3
suspect.: 1
among: 22
madness: 1
bricks: 1
pot: 1
meal,: 1
Amen.â€: 1
satisfaction: 1
grants: 1
stretched: 3
learning: 5
'AS-IS',: 1
ordered: 1
precious: 3
destroyed: 1
thunderstorms,: 1
Whatâ€”even: 1
pavements,: 1
stretch: 2
rebuild: 1
But: 82
endure.: 1
vials: 1
punished: 2
Doctors: 1
cords: 2
engine: 1
performing,: 3
restrictions: 2
â€œNor: 1
Vanilla: 2
blessing: 1
Transgression: 3
spirit: 9
those: 16
sound: 4
shaft: 1
